id,score,range,title
2610146759,0.7509472837013662,0,The refugee issue is dangerous politics.
1143646857,0.6689555033725757,0,Refugees and immigration.
1125784644,0.6531629799516551,1,"Crack down on refugees, Commons report urges."
1241441332,0.6632978239208374,1,"Broaden definition of refugee in immigration bill, MPs urge."
1513508940,0.6366644171976663,2,A plan to make Canada less desireable.
1151111154,0.6502756342255875,2,Refugee rights.
2122118681,0.6266796849503424,3,Tories apply specific criteria for refugees.
1237170136,0.6338913503158015,3,Shrinking refugee rights.
1238543976,0.6116515457619267,4,"Phone-ins, polls bristle with anti-immigrant feelings."
1444806568,0.6104176271797009,4,REFUGEES.
1238466276,0.6156477802480357,4,Misguided bills pose a threat to true refugees.
1513565885,0.5899291329238944,5,Canada's refugee system is a dead end for terrorists.
1811408353,0.5955863110082575,5,Federal government examined limiting number of refugees with health problems.
1412791632,0.593619594436052,5,IMMIGRATION.
1125766074,0.5825964864233005,6,Canada must stand on guard.
1688077842,0.5698436148444311,6,Concession on refugee detentions could be the pattern for needed reforms.
1238432270,0.5833439393884804,6,"New law to curb refugees violates two rights charters, lawyer asserts."
1222360452,0.5472461210828053,7,Beating the system.
1238500318,0.5530164360983023,7,Custody rule could halt bogus refugees.
1143970388,0.5435255897397896,7,Hard Questions on immigration beg for answers.
1287816582,0.5540021378452334,7,Ottawa Weighs Plight of Eight Refused Entry.
1238507113,0.5145527533745087,8,"Will change refugee bill, minister says."
1325765526,0.4975190800344855,8,Refugee Question Moral and Ethical.
1237734152,0.5068457653699118,8,Portuguese fear deportations under new law.
1369011114,0.5133742732381481,8,Minister targets bogus refugees.
1350913723,0.4971265671016066,8,Refugee Immigration Regarded as Risky.
1151254654,0.4726710390661169,9,How Canada deals with people who arrive here claiming to be refugees.
2122278281,0.4552140337921866,9,Why can't we meet our (modest) goals?.
1444803361,0.4856644802128402,9,LETTERS TO THE EDITOR.
1151269103,0.4755348376936349,9,"Race, religion, economics and immigration."
2459843606,0.4582132774945391,9,Ministers go to border to warn migrants against crossing.
1444803998,0.4580767360977059,9,THE SEIZURE OF THE SUN SEA.
1151498260,0.4566027140982978,9,Canada given task on refugees.
2273219514,0.4065983521465902,10,A refugee experience from the outside.
1151117837,0.4084188319704502,10,Would-be refugees holding their breath.
1238622006,0.4259105262736594,10,"Detention now racism, Sikh leaders charge."
1323411757,0.4513734695625738,10,Haphazard Immigration.
1143670128,0.4287336350808624,10,Assessing Mr. Marchi's immigration prescriptions.
1371109927,0.4144357546903583,10,Immigration attitudes.
1313764967,0.4100382071055026,10,Immigration.
1138934852,0.4329524566720391,10,The other refugees: Serbs' story goes untold.
1532072619,0.362656999641826,11,THE JEWISH REFUGEES.
1325961254,0.4045455992587962,11,Correspondence.
1354007187,0.3909663669960205,11,UNDESIRABLE IMMIGRANTS.
1143650820,0.3601714392174542,11,Getting cross at the border.
1400745069,0.3819008057683222,11,Migrants given new chance to stay.
1144764205,0.3587766924681295,11,Report urges regulation of immigration consultants.
1518957463,0.4004820539270781,11,IMMIGRATION.
1239956176,0.3998548464236772,11,"Jobless rate, refugee movements could affect levels."
1135036971,0.3746266639179939,11,A guide to the arriving Kosovo refugees.
1371094486,0.3630883256611022,11,Canada's welcome mat.
1126303754,0.3062565006103317,12,Table of Contents 4 -- No Title.
1371283233,0.3473186213756251,12,Divided on Palestinian refugees.
1355043292,0.3323032057489509,12,New Citizens of Canada Now Largely Recruited From the United Kingdom.
1143966600,0.3414597721760019,12,Amnesty reports abusers.
1288448476,0.3123497147625398,12,Readers' Views on Immigration.
1313777670,0.3368274660885999,12,Beyond the Law.
1351128300,0.3436786923138679,12,IMMIGRATION DEBATE OPENS.
1356584753,0.3191073412122993,12,INSISTS FOREIGNERS SHOULD NATURALIZE.
1242164022,0.3262413956597498,12,Right stand.
1291418216,0.3091494604186218,12,Other 64 -- No Title.
1142489682,0.3327561999658343,12,Off the wall on immigration.
1242385828,0.3086192867427281,12,Protest foreigners.
1237232955,0.2771949681275542,13,Language laggards.
1242370778,0.302345750761627,13,Trudeau rejects invitation to bar 'revolutionaries'.
1513563789,0.263303166197909,13,Migrant workers lack health care.
1351284963,0.2863401916085187,13,"CATCHWORDS, NOT WATCHWORDS."
1356917326,0.2760856833757071,13,LETTERS TO THE EDITOR.
1513813789,0.27871237989708,13,IMMIGRATION.
1239427267,0.2740627945951934,13,The danger that Argentine refugees may be extremists.
1270866949,0.3002597856435863,13,"Sponsored immigrants who work face deportation, new policy says."
1242352269,0.2933734099575968,13,Morality.
1125775949,0.2802443750801751,13,Pressure rises for tighter border.
1242300895,0.2689919914385575,13,Appeal board lets 13 Poles stay 2 years.
1151737240,0.2788392607575007,13,A new clause to fit a new world.
1239732861,0.2935508669677464,13,Kidnappers of Cross make inquiries in Cuba about travel papers.
1412122543,0.3006829104543157,13,THE MENNONITE IMMIGRANTS.
1444842438,0.30308691723448,13,SECURITY.
1356146943,0.290850627516148,13,Refugee Question Is Raised As Problem Confronting Jewish National Council.
1354153219,0.2748020232622682,13,CANADA'S BID FOR PEOPLE.
1434956333,0.2530885294277169,14,Is bilingualism in Quebec no longer a hot issue.
1242425049,0.2295938234245588,14,Reporf urges tighter procedure to thwart illegal passport usage.
1369025629,0.2368110133698006,14,Strange legal logic.
1240463572,0.2556557204944774,14,Belfast busy.
1325730796,0.2293649022996934,14,Secure in Yugoslavia.
2605918114,0.2403358281956604,14,AMBASSADOR REPLIES.
1270358249,0.2288554029363313,14,Ontario NDP swings to right and confines government role.
1351246303,0.2397362284630357,14,NOTES AND COMMENTS.
1239251878,0.2568194372450352,14,Faith no substitute.
1811447943,0.2476354954845533,14,ON REFLECTION LETTERS TO THE EDITOR.
1647948908,0.2329441360381753,14,CONFOUNDING THINGS UNLIKE.
1283139899,0.2357515100824629,14,Foreign Students Increase; Need for More Aid Stressed.
1237467661,0.232135518720654,14,Going critical.
1368430053,0.2550919045494307,14,Almrei's due process.
1356372061,0.244358913708704,14,MOVING THE FENCE.
1135470046,0.2438359327974991,14,PEOPLE FOR PROFIT.
1288488037,0.2286785124015166,14,Canada Still Cruelly Racial.
1270025137,0.2473742461588063,14,Wisely done.
1287701646,0.2538392955237242,14,New Measure Would Cut Delays In Deportations.
1138747989,0.2385828745118304,14,Liberals press bilingualism button.
