id,score,title
2610146759,0.7509472837013662,The refugee issue is dangerous politics.
1143646857,0.6689555033725757,Refugees and immigration.
1241441332,0.6632978239208374,"Broaden definition of refugee in immigration bill, MPs urge."
1125784644,0.6531629799516551,"Crack down on refugees, Commons report urges."
1151111154,0.6502756342255875,Refugee rights.
1513508940,0.6366644171976663,A plan to make Canada less desireable.
1125512366,0.634540532897396,Keep our door open.
1237170136,0.6338913503158015,Shrinking refugee rights.
1238331892,0.6321476760684671,Court battle pledged as refugee legislation receives royal assent.
1143733555,0.6271920923410523,Canada's refugee problems.
2122118681,0.6266796849503424,Tories apply specific criteria for refugees.
1269996330,0.6222610808346666,Don't slam the door.
1444926563,0.6213480092547217,"Immigrants, refugees."
2748166774,0.6188358433869092,Refugee advocates decry changes to asylum laws in budget bill.
2273266097,0.6175299071298704,"Refugees no danger, U.S. told."
1238468008,0.616377440518471,Considering refugees.
1238466276,0.6156477802480357,Misguided bills pose a threat to true refugees.
2748169543,0.6146780228980231,Views on immigration hold steady: poll.
1412188107,0.614168853863693,"ASYLUM SEEKERS 'IF YOU GET JUST 5 PER CENT... THAT WOULD BE 400,000 PEOPLE'."
1411743496,0.6132458846876311,IRAQI REFUGEES.
1238522381,0.6126573541176343,Refugee bill changes to be unveiled today.
1137466050,0.6122967644938165,A refuge for refugees.
1238543976,0.6116515457619267,"Phone-ins, polls bristle with anti-immigrant feelings."
1444806568,0.6104176271797009,REFUGEES.
1151474648,0.609890179333788,Canada best of choices U.S. spokesman says.
2121472160,0.607777867011238,TALKING POINT.
1356972692,0.607764144636601,"Ban refugees from U.S., Alliance says."
1125755311,0.6064806929105101,Refugees fight terrorist label in Canada.
1368147825,0.6058172587671814,Why Canada must not intercept asylum-seekers.
1125496214,0.6047173761209736,The Power Game.
1151549623,0.6039655125875906,Proposals on refugees come under attack.
2459965503,0.6028191442653162,"Sizable minority says Canada is accepting too many refugees, poll shows."
1412675347,0.6020877704569247,REFUGEE LAW VERSUS IMMIGRATION POLICY.
2606113838,0.6010810929699573,Asylum seekers in Canada: A look at the issues and facts.
1238331414,0.5999077825913237,"Many migrants not in danger, study says."
1444958294,0.5973727909749922,REFUGEE LEGISLATION.
1412187459,0.5973182350565134,BORDERS.
2610325020,0.595940848389607,Bordering on the ridiculous.
1811408353,0.5955863110082575,Federal government examined limiting number of refugees with health problems.
1325673309,0.5949028453922036,Talents of Canadians and Refugees Should Be Joined for Nation's Weal.
1151469353,0.5938351844602882,"Still, a sanctuary."
1412791632,0.593619594436052,IMMIGRATION.
1400818330,0.5934327623135535,ASYLUM SEEKERS.
1444945125,0.5930061569689918,HUMAN SMUGGLING.
1237265476,0.592684456353784,Should set example.
1238508446,0.5918680454402341,Display Ad 10 -- No Title.
1400873798,0.5917294296171317,THE ASYLUM SEEKERS.
1237208955,0.5914302027843954,Claims of refuge.
1238435639,0.5901421732070485,Handling refugees.
